CPU Name,Rating,Rank,Num Thread Execution units,Avg Speed,Stock Speed,Samples,Single Thread,maxTDP,turbospeed,cores per cpu,logicals per core,CPU First Seen in Charts,class,Other Names,URL (https://www.cpubenchmark.net/)
[Quad CPU] Intel Xeon E5-4667 v4 @ 2.20GHz,53402,73,144,2194,2200,1,1584,135,2900,18,2,1/15/2021,Server,Intel(R) Xeon(R) CPU E5-4667 v4 @ 2.20GHz,cpu.php?cpu=Intel+Xeon+E5-4667+v4+%40+2.20GHz&id=3902&cpuCount=4
[Dual CPU] Intel Xeon Gold 6238R @ 2.20GHz,53331,74,112,2197,2200,2,1875,165,4000,28,2,2/23/2021,Server,Intel(R) Xeon(R) Gold 6238R CPU @ 2.20GHz,cpu.php?cpu=Intel+Xeon+Gold+6238R+%40+2.20GHz&id=4132&cpuCount=2
,,,,,,,,,,,,,,,
<snip, over 3000 lines removed from sample>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Intel Celeron 1200MHz,159,4000,1,1200,1200,2,212,,-1,1,1,2/27/2009,Unknown,Intel(R) Celeron(TM) CPU 1200MHz,cpu.php?cpu=Intel+Celeron+1200MHz&id=717
Intel Atom E3815 @ 1.46GHz,159,4001,1,1464,1460,8,238,5,-1,1,1,5/16/2014,Desktop,"Intel(R) Atom(TM) CPU E3815 @ 1.46GHz, Intel(R) Atom(TM) CPU  E3815  @ 1.46GHz",cpu.php?cpu=Intel+Atom+E3815+%40+1.46GHz&id=2233
Intel Atom Z670 @ 1.50GHz,158,4002,2,1500,1500,4,95,3,-1,1,2,6/27/2011,Laptop,Intel(R) Atom(TM) CPU Z670 @ 1.50GHz,cpu.php?cpu=Intel+Atom+Z670+%40+1.50GHz&id=630
Intel Pentium 4 2.66GHz,157,4003,1,2660,2660,197,431,66.1,-1,1,1,1/11/2009,Desktop,Intel(R) Pentium(R) 4 CPU 2.66GHz,cpu.php?cpu=Intel+Pentium+4+2.66GHz&id=1071
Intel Pentium 4 2.20GHz,157,4004,1,2200,2200,17,379,57.1,-1,1,1,1/6/2009,Desktop,Intel(R) Pentium(R) 4 CPU 2.20GHz,cpu.php?cpu=Intel+Pentium+4+2.20GHz&id=1065
Intel Pentium III Mobile 1200MHz,156,4005,1,1200,1200,4,216,,-1,1,1,2/27/2009,Laptop,Intel(R) Pentium(R) III Mobile CPU 1200MHz,cpu.php?cpu=Intel+Pentium+III+Mobile+1200MHz&id=1151
Intel Pentium M 1000MHz,156,4006,1,1000,1000,4,222,7,-1,1,1,3/21/2009,Laptop,Intel(R) Pentium(R) M processor 1000MHz,cpu.php?cpu=Intel+Pentium+M+1000MHz&id=1163
Intel Celeron M 440 @ 1.86GHz,155,4007,1,1862.5,1860,49,440,27,-1,1,1,12/5/2008,Laptop,Intel(R) Celeron(R) M CPU 440 @ 1.86GHz,cpu.php?cpu=Intel+Celeron+M+440+%40+1.86GHz&id=702
Intel Pentium M 1200MHz,155,4008,1,1200,1200,2,166,12,-1,1,1,4/16/2009,Laptop,Intel(R) Pentium(R) M processor 1200MHz,cpu.php?cpu=Intel+Pentium+M+1200MHz&id=1165
Intel Pentium 4 3.83GHz,154,4009,2,3830,3830,1,237,,,1,2,5/6/2018,Desktop,Intel(R) Pentium(R) 4 CPU 3.83GHz,cpu.php?cpu=Intel+Pentium+4+3.83GHz&id=3256
AMD Athlon 64 2000+,154,4010,1,1000,1000,2,173,8,-1,1,1,11/20/2013,Unknown,AMD Athlon(tm) 64 Processor 2000+,cpu.php?cpu=AMD+Athlon+64+2000%2B&id=2096
Intel Celeron 2.66GHz,154,4011,1,2663,2660,132,417,,-1,1,1,2/25/2009,Unknown,Intel(R) Celeron(R) CPU 2.66GHz,cpu.php?cpu=Intel+Celeron+2.66GHz&id=642
Mobile Intel Celeron 2.40GHz,154,4012,1,2400,2400,3,376,,-1,1,1,2/25/2009,Laptop,Mobile Intel(R) Celeron(R) CPU 2.40GHz,cpu.php?cpu=Mobile+Intel+Celeron+2.40GHz&id=1363
Intel Atom N435 @ 1.33GHz,153,4013,2,1330,1330,4,220,,-1,1,2,10/3/2011,Unknown,Intel(R) Atom(TM) CPU N435 @ 1.33GHz,cpu.php?cpu=Intel+Atom+N435+%40+1.33GHz&id=617
Intel Xeon 2.00GHz,152,4014,2,2000,2000,2,259,,-1,1,2,2/27/2009,Server,Intel(R) Xeon(TM) CPU 2.00GHz,cpu.php?cpu=Intel+Xeon+2.00GHz&id=1315
Intel Pentium 4 2.26GHz,151,4015,1,2260,2260,42,409,58,-1,1,1,2/13/2009,Desktop,Intel(R) Pentium(R) 4 CPU 2.26GHz,cpu.php?cpu=Intel+Pentium+4+2.26GHz&id=1066
Intel Pentium 4 2.93GHz,150,4016,1,2930,2930,28,269,,-1,1,1,2/27/2009,Desktop,Intel(R) Pentium(R) 4 CPU 2.93GHz,cpu.php?cpu=Intel+Pentium+4+2.93GHz&id=1073
VIA C7-D 1800MHz,150,4017,1,1800,1800,48,147,20,-1,1,1,2/15/2011,Desktop,VIA C7-D Processor 1800MHz,cpu.php?cpu=VIA+C7-D+1800MHz&id=1413
Intel Celeron M 1.00GHz,149,4018,1,1000,1000,4,197,,-1,1,1,2/24/2009,Laptop,Intel(R) Celeron(R) M processor 1.00GHz,cpu.php?cpu=Intel+Celeron+M+1.00GHz&id=706
Intel Celeron 2.30GHz,148,4019,1,2300,2300,3,364,,-1,1,1,2/25/2009,Unknown,Intel(R) Celeron(R) CPU 2.30GHz,cpu.php?cpu=Intel+Celeron+2.30GHz&id=1467
Mobile Intel Celeron 2.20GHz,147,4020,1,2200,2200,2,355,,-1,1,1,4/8/2009,Laptop,Mobile Intel(R) Celeron(R) CPU 2.20GHz,cpu.php?cpu=Mobile+Intel+Celeron+2.20GHz&id=1362
Mobile Intel Pentium III - M 1200MHz,146,4021,1,1200,1200,4,185,22,-1,1,1,3/20/2009,Laptop,Mobile Intel(R) Pentium(R) III CPU - M 1200MHz,cpu.php?cpu=Mobile+Intel+Pentium+III+-+M+1200MHz&id=1382
VIA C7-M 6300MHz,145,4022,1,1600,1600,2,121,,-1,1,1,1/27/2011,Unknown,VIA C7-M Processor 6300MHz,cpu.php?cpu=VIA+C7-M+6300MHz&id=1416
Mobile Intel Pentium 4 - M 2.20GHz,143,4023,1,2200,2200,9,388,,-1,1,1,2/25/2009,Laptop,Mobile Intel(R) Pentium(R) 4 - M CPU 2.20GHz,cpu.php?cpu=Mobile+Intel+Pentium+4+-+M+2.20GHz&id=1369
Intel Celeron 2.60GHz,143,4024,1,2600,2600,34,353,,-1,1,1,2/24/2009,Unknown,Intel(R) Celeron(R) CPU 2.60GHz,cpu.php?cpu=Intel+Celeron+2.60GHz&id=641
Intel Celeron 2.40GHz,143,4025,1,2400,2400,129,397,,-1,1,1,12/11/2008,Unknown,Intel(R) Celeron(R) CPU 2.40GHz,cpu.php?cpu=Intel+Celeron+2.40GHz&id=638
ARM Cortex-A7 2 Core 1080 MHz,142,4026,2,1080,1080,2,200,,,2,1,5/16/2021,Unknown,ARM Cortex-A7 2 Core 1080 MHz,cpu.php?cpu=ARM+Cortex-A7+2+Core+1080+MHz&id=4337
Intel Pentium M 900MHz,141,4027,1,900,900,2,200,7,-1,1,1,5/25/2009,Laptop,Intel(R) Pentium(R) M processor 900MHz,cpu.php?cpu=Intel+Pentium+M+900MHz&id=1175
Mobile Intel Pentium 4 - M 2.40GHz,139,4028,1,2400,2400,6,317,,-1,1,1,3/3/2009,Laptop,Mobile Intel(R) Pentium(R) 4 - M CPU 2.40GHz,cpu.php?cpu=Mobile+Intel+Pentium+4+-+M+2.40GHz&id=1370
Intel Celeron 1000MHz,139,4029,1,1000,1000,2,174,,-1,1,1,5/27/2009,Unknown,Intel(R) Celeron(TM) CPU 1000MHz,cpu.php?cpu=Intel+Celeron+1000MHz&id=1648
Intel Celeron M 420 @ 1.60GHz,139,4030,1,1600,1600,34,391,27,-1,1,1,2/28/2009,Laptop,Intel(R) Celeron(R) M CPU 420 @ 1.60GHz,cpu.php?cpu=Intel+Celeron+M+420+%40+1.60GHz&id=700
Intel Celeron 2.20GHz,139,4031,1,2200,2200,7,349,,-1,1,1,3/6/2009,Unknown,Intel(R) Celeron(R) CPU 2.20GHz,cpu.php?cpu=Intel+Celeron+2.20GHz&id=636
Mobile Intel Pentium 4 - M 2.00GHz,138,4032,1,2000,2000,4,345,,-1,1,1,2/28/2009,Laptop,Mobile Intel(R) Pentium(R) 4 - M CPU 2.00GHz,cpu.php?cpu=Mobile+Intel+Pentium+4+-+M+2.00GHz&id=1368
Intel Pentium 4 Mobile 1.90GHz,136,4033,1,1900,1900,2,282,,-1,1,1,7/1/2009,Laptop,Intel(R) Pentium(R) 4 Mobile CPU 1.90GHz,cpu.php?cpu=Intel+Pentium+4+Mobile+1.90GHz&id=1692
VIA Esther 1500MHz,135,4034,1,1500,1500,3,112,,-1,1,1,1/6/2011,Unknown,VIA Esther processor 1500MHz,cpu.php?cpu=VIA+Esther+1500MHz&id=1420
Intel Pentium 4 2.00GHz,133,4035,1,2000,2000,65,349,54.3,-1,1,1,1/6/2009,Desktop,Intel(R) Pentium(R) 4 CPU 2.00GHz,cpu.php?cpu=Intel+Pentium+4+2.00GHz&id=1064
Mobile Intel Celeron 2.00GHz,133,4036,1,2000,2000,2,290,,-1,1,1,3/14/2009,Laptop,Mobile Intel(R) Celeron(R) CPU 2.00GHz,cpu.php?cpu=Mobile+Intel+Celeron+2.00GHz&id=1361
Intel Pentium 4 Mobile 2.00GHz,132,4037,1,2000,2000,3,310,,-1,1,1,6/13/2009,Laptop,Intel(R) Pentium(R) 4 Mobile CPU 2.00GHz,cpu.php?cpu=Intel+Pentium+4+Mobile+2.00GHz&id=1087
Intel Pentium 4 2.40GHz,131,4038,1,2400,2400,245,360,59.8,-1,1,1,12/13/2008,Desktop,"Intel(R) Pentium(R) 4 CPU 2.40GHz, Intel(R) Pentium(R) 4 Family CPU 2.40GHz",cpu.php?cpu=Intel+Pentium+4+2.40GHz&id=1067
Intel Core Solo U1400 @ 1.20GHz,130,4039,1,1200,1200,4,365,5.5,-1,1,1,3/15/2009,Laptop,"Genuine Intel(R) CPU U1400 @ 1.20GHz, Intel(R) Core(TM) Solo CPU U1400 @ 1.20GHz",cpu.php?cpu=Intel+Core+Solo+U1400+%40+1.20GHz&id=904
Mobile Intel Pentium III - M 933MHz,130,4040,1,933,933,2,177,20.1,-1,1,1,7/24/2009,Laptop,Mobile Intel(R) Pentium(R) III CPU - M 933MHz,cpu.php?cpu=Mobile+Intel+Pentium+III+-+M+933MHz&id=1742
AMD G-T44R,130,4041,1,1198.5,1200,7,328,9,-1,1,1,8/30/2011,Laptop,AMD G-T44R Processor,cpu.php?cpu=AMD+G-T44R&id=266
Intel Core Solo U1300 @ 1.06GHz,127,4042,1,1061.5,1060,6,340,6,-1,1,1,8/12/2009,Laptop,"Genuine Intel(R) CPU U1300 @ 1.06GHz, Intel(R) Core(TM) Solo CPU U1300 @ 1.06GHz",cpu.php?cpu=Intel+Core+Solo+U1300+%40+1.06GHz&id=593
Intel Celeron M 443 @ 1.20GHz,125,4043,1,1200,1200,2,288,5.5,-1,1,1,3/25/2009,Laptop,Intel(R) Celeron(R) M CPU 443 @ 1.20GHz,cpu.php?cpu=Intel+Celeron+M+443+%40+1.20GHz&id=1641
Intel Celeron 2.00GHz,125,4044,1,2000,2000,40,338,52.8,-1,1,1,2/25/2009,Desktop,Intel(R) Celeron(R) CPU 2.00GHz,cpu.php?cpu=Intel+Celeron+2.00GHz&id=633
Intel Celeron M 410 @ 1.46GHz,123,4045,1,1460,1460,45,301,27,-1,1,1,3/1/2009,Laptop,Intel(R) Celeron(R) M CPU 410 @ 1.46GHz,cpu.php?cpu=Intel+Celeron+M+410+%40+1.46GHz&id=699
Intel Celeron M 900MHz,123,4046,1,900,900,13,155,,-1,1,1,2/28/2009,Laptop,Intel(R) Celeron(R) M processor 900MHz,cpu.php?cpu=Intel+Celeron+M+900MHz&id=715
Intel Atom Z520 @ 1.33GHz,122,4047,2,1331.5,1330,22,151,2,-1,1,2,5/1/2009,Laptop,"Intel(R) Atom(TM) CPU Z520 @ 1.33GHz, Intel(R) Core(TM) CPU Z520 @ 1.33GHz",cpu.php?cpu=Intel+Atom+Z520+%40+1.33GHz&id=625
Mobile Intel Pentium 4 - M 1.70GHz,121,4048,1,1700,1700,5,297,,-1,1,1,3/7/2009,Laptop,Mobile Intel(R) Pentium(R) 4 - M CPU 1.70GHz,cpu.php?cpu=Mobile+Intel+Pentium+4+-+M+1.70GHz&id=1365
Mobile Intel Celeron 1.80GHz,121,4049,1,1800,1800,2,280,66.1,-1,1,1,7/14/2009,Laptop,Mobile Intel(R) Celeron(R) CPU 1.80GHz,cpu.php?cpu=Mobile+Intel+Celeron+1.80GHz&id=1360
AMD G-T40R,120,4050,1,1000,1000,4,327,5.5,-1,1,1,10/4/2018,Laptop,AMD G-T40R Processor,cpu.php?cpu=AMD+G-T40R&id=3328
Mobile Intel Pentium 4 - M 1.80GHz,119,4051,1,1800,1800,5,297,,-1,1,1,3/5/2009,Laptop,Mobile Intel(R) Pentium(R) 4 - M CPU 1.80GHz,cpu.php?cpu=Mobile+Intel+Pentium+4+-+M+1.80GHz&id=1366
Intel Pentium III Mobile 800MHz,119,4052,1,800,800,2,155,,-1,1,1,4/28/2009,Laptop,Intel(R) Pentium(R) III Mobile CPU 800MHz,cpu.php?cpu=Intel+Pentium+III+Mobile+800MHz&id=1700
Mobile Intel Celeron 1.70GHz,118,4053,1,1700,1700,2,254,,-1,1,1,4/7/2009,Laptop,Mobile Intel(R) Celeron(R) CPU 1.70GHz,cpu.php?cpu=Mobile+Intel+Celeron+1.70GHz&id=1734
Intel Pentium 4 Mobile 1.60GHz,116,4054,1,1600,1600,2,254,,-1,1,1,2/27/2009,Laptop,Intel(R) Pentium(R) 4 Mobile CPU 1.60GHz,cpu.php?cpu=Intel+Pentium+4+Mobile+1.60GHz&id=1084
VIA C7-M 1600MHz,116,4055,1,1600,1600,12,124,15,-1,1,1,1/30/2011,Laptop,VIA C7-M Processor 1600MHz,cpu.php?cpu=VIA+C7-M+1600MHz&id=1415
Intel Pentium 4 1.80GHz,115,4056,1,1800,1800,40,318,68.1,-1,1,1,12/31/2008,Desktop,Intel(R) Pentium(R) 4 CPU 1.80GHz,cpu.php?cpu=Intel+Pentium+4+1.80GHz&id=1056
Intel Pentium 4 Mobile 1.80GHz,114,4057,1,1800,1800,2,195,,-1,1,1,5/6/2009,Laptop,Intel(R) Pentium(R) 4 Mobile CPU 1.80GHz,cpu.php?cpu=Intel+Pentium+4+Mobile+1.80GHz&id=1086
Intel Pentium 4 1800MHz,114,4058,1,1800,1800,3,317,68.1,-1,1,1,2/24/2009,Desktop,Intel(R) Pentium(R) 4 CPU 1800MHz,cpu.php?cpu=Intel+Pentium+4+1800MHz&id=1063
Intel Celeron 1100MHz,113,4059,1,1100,1100,2,183,,-1,1,1,4/27/2009,Unknown,Intel(R) Celeron(TM) CPU 1100MHz,cpu.php?cpu=Intel+Celeron+1100MHz&id=716
VIA C7-M 1200MHz,112,4060,1,1200,1200,6,93,,-1,1,1,1/15/2011,Unknown,VIA C7-M Processor 1200MHz,cpu.php?cpu=VIA+C7-M+1200MHz&id=1414
Intel Celeron B710 @ 1.60GHz,106,4061,1,1600,1600,1,101,35,-1,1,1,8/15/2015,Laptop,Intel(R) Celeron(R) CPU B710 @ 1.60GHz,cpu.php?cpu=Intel+Celeron+B710+%40+1.60GHz&id=2574
Intel Pentium 4 1.90GHz,104,4062,1,1900,1900,6,292,69.2,-1,1,1,2/27/2009,Desktop,Intel(R) Pentium(R) 4 CPU 1.90GHz,cpu.php?cpu=Intel+Pentium+4+1.90GHz&id=1057
VIA Nehemiah,101,4063,1,1200,1200,2,75,,-1,1,1,1/17/2011,Unknown,VIA Nehemiah,cpu.php?cpu=VIA+Nehemiah&id=1425
Intel Celeron 1.70GHz,101,4064,1,1700,1700,31,190,,-1,1,1,2/26/2009,Unknown,Intel(R) Celeron(R) CPU 1.70GHz,cpu.php?cpu=Intel+Celeron+1.70GHz&id=631
Intel Pentium 4 1700MHz,100,4065,1,1700,1700,5,266,64,-1,1,1,3/1/2009,Desktop,Intel(R) Pentium(R) 4 CPU 1700MHz,cpu.php?cpu=Intel+Pentium+4+1700MHz&id=1062
Intel Pentium III Mobile 866MHz,99,4066,1,866,866,2,132,,-1,1,1,4/17/2009,Laptop,Intel(R) Pentium(R) III Mobile CPU 866MHz,cpu.php?cpu=Intel+Pentium+III+Mobile+866MHz&id=1152
Intel Celeron 1.80GHz,96,4067,1,1800,1800,17,307,66.1,-1,1,1,3/8/2009,Desktop,Intel(R) Celeron(R) CPU 1.80GHz,cpu.php?cpu=Intel+Celeron+1.80GHz&id=632
VIA Esther 1000MHz,95,4068,1,1000,1000,2,82,,-1,1,1,2/19/2011,Unknown,VIA Esther processor 1000MHz,cpu.php?cpu=VIA+Esther+1000MHz&id=1418
ARM Cortex-A7 2 Core 960 MHz,93,4069,2,960,960,2,140,,,2,1,3/12/2021,Unknown,ARM Cortex-A7 2 Core 960 MHz,cpu.php?cpu=ARM+Cortex-A7+2+Core+960+MHz&id=4183
VIA Eden 1200MHz,93,4070,1,1200,1200,1,97,7,-1,1,1,5/7/2017,Laptop,VIA Eden Processor 1200MHz,cpu.php?cpu=VIA+Eden+1200MHz&id=3013
Intel Pentium 4 1.70GHz,86,4071,1,1700,1700,20,254,64,-1,1,1,3/4/2009,Desktop,Intel(R) Pentium(R) 4 CPU 1.70GHz,cpu.php?cpu=Intel+Pentium+4+1.70GHz&id=1055
Intel Pentium 4 1.50GHz,86,4072,1,1500,1500,8,228,57.8,-1,1,1,3/15/2009,Desktop,Intel(R) Pentium(R) 4 CPU 1.50GHz,cpu.php?cpu=Intel+Pentium+4+1.50GHz&id=1053
Intel Pentium 4 1.60GHz,84,4073,1,1600,1600,12,225,38,-1,1,1,2/24/2009,Desktop,Intel(R) Pentium(R) 4 CPU 1.60GHz,cpu.php?cpu=Intel+Pentium+4+1.60GHz&id=1054
Intel Pentium 4 1400MHz,83,4074,1,1400,1400,2,180,54.7,-1,1,1,3/1/2009,Desktop,Intel(R) Pentium(R) 4 CPU 1400MHz,cpu.php?cpu=Intel+Pentium+4+1400MHz&id=1059
Intel Pentium 4 1500MHz,81,4075,1,1500,1500,7,223,57.8,-1,1,1,3/3/2009,Desktop,Intel(R) Pentium(R) 4 CPU 1500MHz,cpu.php?cpu=Intel+Pentium+4+1500MHz&id=1060
VIA Eden 1000MHz,80,4076,1,1000,1000,1,83,5,-1,1,1,12/15/2017,Laptop,VIA Eden Processor 1000MHz,cpu.php?cpu=VIA+Eden+1000MHz&id=3147
Intel Pentium 4 1300MHz,77,4077,1,1300,1300,4,203,51.6,-1,1,1,3/3/2009,Desktop,Intel(R) Pentium(R) 4 CPU 1300MHz,cpu.php?cpu=Intel+Pentium+4+1300MHz&id=1058
