Videocard, 3D Rating, Rank, 2D Rating, Samples, First Seen in Charts, Memory Size, Core Clock, Mem Clock, Category
"Radeon RX 6900 XT",25521,1,1104,289,2020-12-08,16384,1825,16000,Desktop
"GeForce RTX 3090",25283,2,979,1444,2020-09-18,24576,1400,19500,Desktop
"GeForce RTX 3080",23957,3,994,2198,2020-09-17,10240,1440,19000,Desktop
"Radeon RX 6800 XT",23707,4,1094,316,2020-11-18,16384,2015,16000,Desktop
"GeForce RTX 3070",21447,5,959,2337,2020-10-26,8192,1500,14000,Desktop
"RX6800 XT",21408,6,1120,7,2021-01-27,,,,
"GeForce RTX 2080 Ti",21240,7,945,7376,2018-09-21,11264,1350,"14000 (1750x8)",Desktop
"RTX A6000",21075,8,736,5,2021-01-28,,,,
"Radeon RX 6800",20844,9,1048,219,2020-11-20,16384,1815,16000,Desktop
"Quadro RTX 8000",20595,10,811,30,2019-03-14,49152,1395,1750,Server
"TITAN V",20153,11,928,76,2017-12-10,12288,1200,850,Desktop
"TITAN RTX",19849,12,857,149,2018-12-20,24576,1350,"14000 (1750x8)",Server
"GeForce RTX 3060 Ti",19516,13,927,738,2020-12-02,8192,1410,14000,Desktop
"Quadro RTX 6000",19394,14,847,74,2018-11-15,24576,1440,1750,Server
"GeForce RTX 2080 SUPER",19207,15,941,3674,2019-07-26,8192,1650,15500,Desktop
"Radeon RX 6700 XT",18517,16,957,28,2021-03-16,12288,2321,,Desktop
"GeForce RTX 2080",18396,17,923,5804,2018-09-19,8096,1515,"14000 (1750x8)",Desktop
"NVIDIA TITAN Xp",18280,18,812,192,2017-04-11,12288,1405,1426,Desktop
"TITAN Xp",18240,19,900,21,2020-10-12,,,,
"GeForce RTX 2070 SUPER",17907,20,904,7147,2019-07-11,8192,1605,"14000 (1750x8)",Desktop
"GeForce GTX 1080 Ti",17626,21,929,19774,2017-03-10,11264,1480,2750,Desktop
"Radeon Pro VII",17228,22,735,4,2020-11-06,,,,
"TITAN Xp COLLECTORS EDITION",17214,23,861,141,2017-12-12,12288,1405,1426,Desktop
"TITAN V CEO Edition",16988,24,1086,1,2018-10-23,32000,1200,1700,
"Radeon VII",16886,25,788,629,2019-02-13,16384,1400,,Desktop
"Quadro P6000",16710,26,857,54,2016-10-28,24000,1417,1126,Server
"Radeon RX 5700 XT",16670,27,951,6670,2019-07-08,8192,1605,14000,Desktop
"Radeon RX 5700 XT 50th Anniversary",16649,28,970,128,2019-07-10,8192,1680,14000,Desktop
"GeForce RTX 3060",16385,29,928,115,2021-02-25,12288,1320,15000,Desktop
"Quadro GP100",16227,30,861,25,2017-04-03,16384,1328,703,Server
"GeForce RTX 2060 SUPER",16222,31,890,3156,2019-07-12,8192,1407,"14000 (1750x8)",Desktop
"GeForce RTX 2070",16010,32,847,7143,2018-10-18,8192,1410,"14000 (1750x8)",Desktop
"Quadro RTX 5000",15970,33,789,169,2019-01-30,16384,1620,1750,Server
"GeForce RTX 3080 Laptop GPU",15257,34,590,37,2021-01-17,8192,1100,12000,Laptop
"Radeon Pro W5700",14952,35,897,51,2020-01-17,8192,1243,14000,Desktop
"Quadro RTX 4000",14899,36,905,443,2019-02-15,8192,1005,1625,Server
"GeForce GTX 1080",14809,37,876,27577,2016-05-14,8192,1607,2500,Desktop
"GeForce RTX 2080 (Mobile)",14805,38,807,203,2019-04-10,8192,1380,14000,Laptop
"Radeon Pro Vega II",14738,39,827,2,2020-02-02,,,,
"Radeon RX 5700",14551,40,920,1173,2019-07-01,8192,1465,14000,Desktop
"Radeon RX Vega 64",14526,41,802,2270,2017-09-01,8192,1247,1890,Desktop
"Quadro RTX 5000 (Mobile)",14369,42,694,67,2019-07-03,16384,1035,1750,"Laptop, Server"
"Quadro RTX 5000 with Max-Q Design",14339,43,667,47,2019-09-19,16384,600,1750,"Laptop, Server"
"GeForce RTX 2070 Super with Max-Q Design",14148,44,705,107,2020-04-30,8192,930,,Laptop
"GeForce GTX 1070 Ti",14057,45,861,6831,2017-11-04,8192,1607,2002,Desktop
"Radeon Pro WX 8200",13962,46,742,62,2018-08-30,8192,1200,2000,Desktop
"GeForce RTX 3070 Laptop GPU",13760,47,539,132,2021-01-17,8192,1100,12000,Laptop
"Radeon Vega Frontier Edition",13748,48,749,127,2017-06-28,16384,1382,945,Desktop
"GeForce RTX 2060",13685,49,751,8236,2019-01-15,6144,1365,"14000 (1750x8)",Desktop
"GeForce GTX 980 Ti",13676,50,835,11913,2015-06-02,6144,1076,"1753 (7012)",Desktop
"NVIDIA TITAN X",13660,51,912,500,2016-08-03,12288,1417,"2500 (10000)",
"Radeon RX 5600 XT",13604,52,909,1314,2020-01-24,6144,1130,12000,Desktop
"Radeon Pro WX 9100",13489,53,770,74,2017-10-16,16384,1200,1890,Desktop
"GeForce RTX 2080 with Max-Q Design",13478,54,588,294,2019-02-01,8192,735,12000,Laptop
"Radeon RX Vega 56",13458,55,771,2141,2017-09-23,8192,1471,1600,Desktop
"Tesla T10",13264,56,624,1,2020-07-14,,,,
"GeForce RTX 2080 Super with Max-Q Design",13217,57,613,132,2020-04-21,8192,735,14000,Laptop
"GeForce GTX 1070",13158,58,839,34040,2016-06-11,8192,1506,2002,Desktop
"Quadro M6000 24GB",12843,59,918,61,2016-07-14,24576,988,1653,Server
"GeForce GTX TITAN X",12780,60,801,1464,2015-03-19,12288,1000,"1753 (7012)",Desktop
"Quadro RTX 4000 (Mobile)",12609,61,588,52,2019-07-15,8192,1110,1750,Laptop
"GeForce GTX 1660 SUPER",12508,62,825,3669,2019-11-02,6144,1530,14000,Desktop
"GeForce RTX 3060 Laptop GPU",12296,63,457,56,2021-02-08,6144,900,,Laptop
"Quadro RTX 4000 with Max-Q Design",12277,64,582,17,2019-11-14,8192,780,13000,Laptop
"Radeon Pro Vega 56",12209,65,826,13,2018-03-18,8192,1247,786,Desktop
"GeForce RTX 2070 (Mobile)",12192,66,602,413,2019-04-10,8192,1215,14000,Laptop
"GeForce RTX 2070 with Max-Q Design",12101,67,531,842,2019-02-10,8192,885,12000,Laptop
"Quadro P4200",12090,68,764,40,2018-07-26,8192,1227,6008,Server
"Quadro P4200 with Max-Q Design",11869,69,583,36,2018-10-17,,,,Server
"GeForce GTX 1660 Ti",11860,70,732,4527,2019-02-06,6144,1500,12000,Desktop
"Radeon Pro WX Vega M GL",11847,71,787,4,2019-06-22,4096,931,1400,Laptop
"Radeon Pro 5700",11844,72,829,3,2020-08-20,8192,1243,12000,Desktop
"Radeon Pro 5700 XT",11807,73,834,11,2020-08-19,16384,1243,12000,Desktop
"GeForce GTX 1660",11497,74,795,2751,2019-03-18,6144,1530,8000,Desktop
"Radeon Pro Vega 64",11456,75,708,7,2018-01-12,,,,
"Quadro P5000",11417,76,675,467,2016-11-25,16384,1607,1126,Server
"Radeon RX 5600",11409,77,953,15,2020-04-30,6144,1130,12000,Desktop
"GeForce RTX 2060 (Mobile)",11214,78,538,1249,2019-04-10,6144,960,14000,Laptop
"Quadro RTX 3000",11200,79,519,264,2019-07-15,6144,945,1750,"Laptop, Server"
"GeForce GTX 1080 with Max-Q Design",11023,80,759,130,2017-07-14,8192,1468,2500,Laptop
"Quadro P5200 with Max-Q Design",10905,81,568,14,2018-10-04,,,,
"GeForce GTX 980",10884,82,801,11709,2014-09-19,4096,1126,1752.5,Desktop
"Quadro P4000",10744,83,815,1174,2017-03-31,8192,1227,1502,Server
"Radeon Pro V520 MxGPU",10599,84,545,6,2020-12-24,,,,
"Quadro M6000",10568,85,775,76,2015-01-12,12288,988,"1653 (6612)",Server
"Radeon Pro SSG",10498,86,601,5,2018-09-13,,,,
"GeForce GTX 1070 (Mobile)",10379,87,602,644,2019-04-10,8192,1443,8000,Laptop
NRDRVNT3,10254,88,648,1,2020-02-20,,,,
"GeForce GTX 1660 Ti (Mobile)",10082,89,506,1322,2019-05-01,6144,1455,12000,Laptop
"GeForce GTX 1070 with Max-Q Design",9983,90,495,566,2017-07-05,8192,1379,2000,Laptop
"Radeon Pro 5600M",9912,91,753,2,2020-08-01,8192,1000,1540,Laptop
"Radeon R9 Fury X",9831,92,751,20,2020-09-18,,,,
"GeForce GTX 1060",9801,93,724,27574,2016-07-20,6144,1708,2002,Desktop
"GeForce GTX 1650 SUPER",9693,94,759,1787,2019-11-27,4096,1530,12000,Desktop
"Radeon Pro Vega 48",9659,95,779,10,2019-08-03,,,,
"GeForce RTX 2060 with Max-Q Design",9640,96,444,384,2020-04-09,6144,975,11000,Laptop
"Radeon R9 Fury",9590,97,802,350,2015-07-15,,,,
"Quadro P2200",9589,98,1025,363,2019-08-22,,,,
"GeForce GTX 970",9546,99,765,43575,2014-09-19,4096,1050,1752.5,Desktop

<snip, around 2000 lines removed from sample>